rank_order,rank,name,scores_overall,scores_overall_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
178,178,Hebrew University of Jerusalem,50.5,178,64.6,290,31.9,569,55.6,283,41.4,156,45.8,114,Israel,"17,612",10.7,5%,55 : 45,Hebrew University of Jerusalem,"Computer Science,Geography,Physics & Astronomy,Mathematics & Statistics,Veterinary Science,Electrical & Electronic Engineering,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Other Health,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Law,Sociology,Chemistry,Archaeology,History, Philosophy & Theology,Psychology,Economics & Econometrics,Education,Geology, Environmental, Earth & Marine Sciences,Business & Management",False,False
179,179,University of Waterloo,50.3,179,66.5,268,39.5,376,74.4,151,43.9,141,35.4,229,Canada,"30,726",24.2,14%,45 : 55,University of Waterloo,"Biological Sciences,Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Chemical Engineering,Mathematics & Statistics,Business & Management,Civil Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Psychology,Electrical & Electronic Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Sport Science,Sociology,Accounting & Finance,Chemistry",False,False
180, =180,University of Gothenburg,50.2,180,81.8,144,30.3,636,58.3,259,39.8,169,28.5,365,Sweden,"26,420",16.4,12%,,University of Gothenburg,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Physics & Astronomy,Education,Sociology,Languages, Literature & Linguistics,Sport Science,Geography,Chemistry,Accounting & Finance,Archaeology,Law,Communication & Media Studies,History, Philosophy & Theology,Other Health,Psychology,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False
181, =180,Sant’Anna School of Advanced Studies – Pisa,50.2,181,84.5,117,71.2,117,45.2,406,23.2,374,42.5,138,Italy,769,8.5,17%,35 : 65,Sant’Anna School of Advanced Studies – Pisa,"Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Biological Sciences,Other Health,Business & Management,Agriculture & Forestry,Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Law",False,False
182, =182,University of Bergen,50.1,182,82.4,137,36.2,443,70,177,31.5,244,32.5,283,Norway,"11,623",11.1,12%,60 : 40,University of Bergen,"Geography,History, Philosophy & Theology,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Psychology,Education,Art, Performing Arts & Design,Law,Languages, Literature & Linguistics,Biological Sciences,Sociology",False,False
183, =182,Cardiff University,50.1,183,82,142,34.6,481,78.1,126,31.6,243,30.9,319,United Kingdom,"23,345",13.1,23%,57 : 43,Cardiff University,"Education,Psychology,Other Health,Archaeology,Geology, Environmental, Earth & Marine Sciences,Law,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Computer Science,Chemistry,History, Philosophy & Theology,Civil Engineering,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Biological Sciences,Accounting & Finance,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,Physics & Astronomy",False,False
184, =182,University of Utah,50.1,184,83.7,123,57.4,184,30.1,591,35.3,208,35.6,226,United States,"25,674",16.9,9%,45 : 55,University of Utah,"Architecture,Electrical & Electronic Engineering,Accounting & Finance,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Business & Management,Biological Sciences,Chemical Engineering,History, Philosophy & Theology,Chemistry,Politics & International Studies (incl Development Studies),Other Health,Law,Sociology,Mechanical & Aerospace Engineering,Medicine & Dentistry,Computer Science,General Engineering,Physics & Astronomy,Sport Science,Art, Performing Arts & Design,Economics & Econometrics,Agriculture & Forestry,Psychology,Communication & Media Studies",False,False
185, =185,Brandeis University,49.9,185,97.3,24,38.6,388,47,379,25.7,336,28.3,370,United States,"5,495",12.6,22%,55 : 45,Brandeis University,"Languages, Literature & Linguistics,Physics & Astronomy,Computer Science,Chemistry,Mathematics & Statistics,Biological Sciences,Art, Performing Arts & Design,Psychology,Agriculture & Forestry,Business & Management,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",False,False
186, =185,University of Dundee,49.9,186,90.2,67,49.5,235,78.5,123,26.9,317,25.6,446,United Kingdom,"11,630",15.3,25%,60 : 40,University of Dundee,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Computer Science,Psychology,Education,Architecture,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics,Other Health,Economics & Econometrics,Civil Engineering,Business & Management,Electrical & Electronic Engineering,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies",False,False
187, =185,University of Würzburg,49.9,187,79.1,168,47.9,251,50.9,333,35.8,200,34.6,247,Germany,"26,576",38.4,8%,57 : 43,University of Würzburg,"Languages, Literature & Linguistics,Psychology,Education,Chemistry,Physics & Astronomy,Agriculture & Forestry,Business & Management,Law,Geography,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Economics & Econometrics,Sport Science,Sociology,Computer Science,Architecture,Other Health,Mathematics & Statistics,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Chemical Engineering,Archaeology",False,False
188,188,Paris-Sud University,49.8,188,79.8,160,28.8,698,64.2,210,29,279,38.7,185,France,"27,603",15.0,17%,,Paris-Sud University,"Medicine & Dentistry,Computer Science,Physics & Astronomy,Sport Science,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Other Health,Accounting & Finance,Biological Sciences,General Engineering,Business & Management,Civil Engineering,Mathematics & Statistics,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
189,189,Arizona State University (Tempe),49.7,189,84.6,116,32,565,31.9,561,38.1,179,32.4,284,United States,"83,236",29.9,9%,50 : 50,Arizona State University (Tempe),"Law,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Biological Sciences,Communication & Media Studies,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Accounting & Finance,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Archaeology,Electrical & Electronic Engineering,General Engineering,Computer Science,Languages, Literature & Linguistics",False,False
190, =190,University of Antwerp,49.6,190,71.7,228,60.3,163,64.8,204,40.8,160,31.6,302,Belgium,"12,346",30.3,16%,56 : 44,University of Antwerp,"Electrical & Electronic Engineering,Other Health,Law,Art, Performing Arts & Design,Veterinary Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,History, Philosophy & Theology,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Sociology,General Engineering,Medicine & Dentistry,Education,Mathematics & Statistics,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Communication & Media Studies",False,False
191, =190,Boston College,49.6,191,83.3,125,46.8,259,60,247,29.3,275,34.1,255,United States,"13,216",17.4,19%,54 : 46,Boston College,"Computer Science,Medicine & Dentistry,Physics & Astronomy,Psychology,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Economics & Econometrics,Biological Sciences,Art, Performing Arts & Design,Law,Chemistry,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Business & Management",False,False
192,192,Ulm University,49.5,192,86.4,94,58.4,175,58.2,262,23.9,361,35.2,232,Germany,"9,187",11.2,10%,47 : 53,Ulm University,"Education,Physics & Astronomy,Chemical Engineering,Computer Science,Chemistry,Sport Science,Medicine & Dentistry,Other Health,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Biological Sciences",False,False
193, =193,University of Luxembourg,49.4,193,84.8,115,38.1,396,99.8,2,26.7,322,25,466,Luxembourg,"5,144",15.9,52%,50 : 50,University of Luxembourg,"Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Geography,Other Health,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Architecture,General Engineering,Mathematics & Statistics,Law,Accounting & Finance,Veterinary Science,Economics & Econometrics,Business & Management,History, Philosophy & Theology,Education,Psychology,Medicine & Dentistry,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False
194, =193,Texas A&M University,49.4,194,47.1,424,46.4,264,47.8,370,52.4,93,49.4,90,United States,"50,657",21.4,9%,47 : 53,Texas A&M University,"Art, Performing Arts & Design,Sociology,Chemistry,History, Philosophy & Theology,Business & Management,Law,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Psychology,Politics & International Studies (incl Development Studies),Geography,Computer Science,Archaeology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Communication & Media Studies,Architecture,Other Health,Chemical Engineering,General Engineering,Languages, Literature & Linguistics,Accounting & Finance,Civil Engineering,Biological Sciences,Sport Science,Education,Agriculture & Forestry",False,False
195,195,Charité - Universitätsmedizin Berlin,49.3,195,83.8,122,68.4,127,61.1,239,22.2,400,37.3,203,Germany,"6,853",6.6,16%,64 : 36,Charité - Universitätsmedizin Berlin,"Other Health,Medicine & Dentistry",False,False
196, =196,Newcastle University,49.2,196,81.5,147,34.7,478,84.3,88,27.5,308,30.9,322,United Kingdom,"20,175",15.2,29%,50 : 50,Newcastle University,"Archaeology,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Civil Engineering,Sociology,Accounting & Finance,General Engineering,Physics & Astronomy,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences,Education,Chemistry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Psychology,Architecture,Chemical Engineering,Veterinary Science,Other Health,Agriculture & Forestry,Geography,Biological Sciences,Communication & Media Studies",False,False
197, =196,"St George’s, University of London",49.2,197,100,1,37.7,408,69.5,182,18.1,495,25.6,449,United Kingdom,"2,960",13.5,17%,61 : 39,"St George’s, University of London","Medicine & Dentistry,Other Health",False,False
198,198,University of Trento,49.1,198,87.7,83,47.1,256,55.9,280,27.4,309,30.8,326,Italy,"16,841",43.2,8%,51 : 49,University of Trento,"Sociology,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Archaeology,Agriculture & Forestry,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,Sport Science,Computer Science,Accounting & Finance,Civil Engineering,Chemical Engineering,Psychology,Law,Architecture,Medicine & Dentistry",False,False
199,199,Paris Diderot University – Paris 7,48.9,199,91,63,29,683,64.9,203,22.9,380,30.5,330,France,"27,756",14.8,17%,63 : 37,Paris Diderot University – Paris 7,,False,False
200,200,Queen’s University Belfast,48.8,200,68.9,245,35.7,459,93.4,24,33.3,222,34.1,257,United Kingdom,"17,940",17.9,30%,54 : 46,Queen’s University Belfast qub queen&#039;s,"Psychology,Accounting & Finance,Law,Economics & Econometrics,Geography,Chemistry,Communication & Media Studies,Civil Engineering,Architecture,Biological Sciences,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Education,Computer Science,Sociology,Medicine & Dentistry,Agriculture & Forestry,Other Health,History, Philosophy & Theology,Chemical Engineering,Mechanical & Aerospace Engineering,Archaeology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",False,False
201,201-250,Aalborg University,0,201,73.8,207,43.7,293,71,169,28.4,289,25.1,462,Denmark,"17,422",15.9,15%,48 : 52,Aalborg University,"Education,Politics & International Studies (incl Development Studies),Chemical Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Sociology,Communication & Media Studies,History, Philosophy & Theology,Accounting & Finance,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Agriculture & Forestry,Other Health,Physics & Astronomy,Law,Mechanical & Aerospace Engineering,Architecture,Geography,Computer Science,Sport Science,Chemistry,Art, Performing Arts & Design,Biological Sciences,Electrical & Electronic Engineering,General Engineering,Psychology,Medicine & Dentistry",False,False
202,201-250,"Birkbeck, University of London",0,202,66.3,269,28.5,713,89.9,50,35.1,210,33.5,267,United Kingdom,"9,455",17.2,38%,55 : 45,"Birkbeck, University of London","Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Law,Economics & Econometrics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sociology,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Psychology,Geography,Business & Management,Physics & Astronomy,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False
203,201-250,University of Bologna,0,203,73,215,34.5,484,39.9,458,29.5,270,39.3,176,Italy,"85,532",22.9,7%,56 : 44,University of Bologna,"Architecture,Archaeology,Communication & Media Studies,Education,Sport Science,Chemical Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Medicine & Dentistry,Computer Science,Languages, Literature & Linguistics,Veterinary Science,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Agriculture & Forestry,Physics & Astronomy,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,Law,Chemistry,Art, Performing Arts & Design,General Engineering,Electrical & Electronic Engineering,Other Health,Civil Engineering,Psychology,Sociology",False,False
204,201-250,University at Buffalo,0,204,62,314,43.8,292,60.6,242,37.9,181,36.5,218,United States,"25,668",19.0,19%,47 : 53,University at Buffalo,"Architecture,Communication & Media Studies,Education,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,General Engineering,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Civil Engineering,Mathematics & Statistics,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Law,Geography,Languages, Literature & Linguistics,Other Health,Sport Science,Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Sociology",False,False
205,201-250,University of Calgary,0,205,67.8,253,52,217,70.1,176,36.7,191,33.9,264,Canada,"28,341",16.5,17%,53 : 47,University of Calgary,"Geography,Psychology,Mechanical & Aerospace Engineering,Veterinary Science,History, Philosophy & Theology,Other Health,Sport Science,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Education,Law,Archaeology,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Architecture,Medicine & Dentistry,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Biological Sciences",False,False
206,201-250,Chalmers University of Technology,0,206,52.2,387,79.5,90,77.6,130,35.3,206,36.6,214,Sweden,"8,605",11.6,15%,30 : 70,Chalmers University of Technology,"Geology, Environmental, Earth & Marine Sciences,Education,Business & Management,Biological Sciences,Accounting & Finance,General Engineering,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,Sport Science,Mechanical & Aerospace Engineering,Architecture,Civil Engineering,Other Health,Chemistry,Mathematics & Statistics,Computer Science,Chemical Engineering,Communication & Media Studies",False,False
207,201-250,City University of Hong Kong,0,207,76.8,181,50.1,228,81.6,106,26.7,320,32.1,291,Hong Kong,"10,015",7.1,28%,51 : 49,City University of Hong Kong CityU HK,"Civil Engineering,Chemistry,Architecture,Psychology,Business & Management,Law,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Biological Sciences,General Engineering,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Veterinary Science,Mathematics & Statistics",False,False
208,201-250,Copenhagen Business School,0,208,79.4,163,35.3,467,88.5,59,26.5,328,19.3,654,Denmark,"18,293",42.7,19%,48 : 52,Copenhagen Business School,"Business & Management,Economics & Econometrics,Computer Science,Mathematics & Statistics,Communication & Media Studies,Accounting & Finance,Sociology,Politics & International Studies (incl Development Studies)",False,False
209,201-250,Dalhousie University,0,209,65.2,280,50.3,226,78.3,125,29.4,273,30.4,331,Canada,"15,064",14.4,18%,55 : 45,Dalhousie University,"Law,General Engineering,Mathematics & Statistics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Other Health,Sport Science,Communication & Media Studies,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,Chemical Engineering,Architecture,Electrical & Electronic Engineering,Sociology,Veterinary Science,Civil Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Physics & Astronomy,Biological Sciences,Psychology,Accounting & Finance",False,False
210,201-250,University of São Paulo,0,210,20.4,671,40.3,360,25.3,647,68.6,52,60.9,49,Brazil,"81,402",14.6,4%,48 : 52,University of São Paulo,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Psychology,Architecture,Veterinary Science,Other Health,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemistry,Law,Sociology,Biological Sciences,Computer Science,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Economics & Econometrics,Chemical Engineering,Archaeology,Sport Science,History, Philosophy & Theology,Communication & Media Studies,Education",False,False
211,201-250,University of Duisburg-Essen,0,211,81.3,150,82.3,77,48.5,362,27,315,32.3,286,Germany,"36,051",46.6,11%,49 : 51,University of Duisburg-Essen,"Other Health,Computer Science,Accounting & Finance,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Psychology,Economics & Econometrics,Sport Science,Communication & Media Studies,Education,Medicine & Dentistry,Biological Sciences,Sociology,Business & Management,General Engineering,Electrical & Electronic Engineering",False,False
212,201-250,École Normale Supérieure de Lyon,0,212,69,244,31.7,575,65.6,200,30,264,41.6,145,France,"2,218",8.0,14%,49 : 51,École Normale Supérieure de Lyon,"History, Philosophy & Theology,Mathematics & Statistics,Sociology,Chemistry,Languages, Literature & Linguistics,Physics & Astronomy,Education,Geography,Computer Science,Biological Sciences,Economics & Econometrics,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences",False,False
213,201-250,Florida State University,0,213,64.7,289,32,566,41.6,439,40.1,166,38.5,189,United States,"41,226",31.8,7%,55 : 45,Florida State University,"Chemical Engineering,Sport Science,Languages, Literature & Linguistics,Architecture,Biological Sciences,Archaeology,Sociology,Accounting & Finance,Medicine & Dentistry,Mechanical & Aerospace Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,General Engineering,Economics & Econometrics,Psychology,Geography,History, Philosophy & Theology,Physics & Astronomy,Civil Engineering,Education,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Other Health,Electrical & Electronic Engineering,Chemistry,Law,Business & Management",False,False
214,201-250,University of Fribourg,0,214,64.1,297,60.8,160,87.4,64,32.9,229,32.3,287,Switzerland,"10,416",46.9,19%,58 : 42,University of Fribourg,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Psychology,Archaeology,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Chemistry,Sport Science,History, Philosophy & Theology,Law,Communication & Media Studies,Business & Management,Education,Geography,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Other Health",False,False
215,201-250,Fudan University,0,215,61.1,322,28,748,38.6,476,30.4,260,44.7,123,China,"32,175",12.2,11%,50 : 50,Fudan University,"Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geography,Law,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Biological Sciences,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Computer Science,Sociology,Accounting & Finance,Agriculture & Forestry",False,False
216,201-250,University of Iceland,0,216,91.4,58,58.8,173,61,240,27.1,313,16.8,758,Iceland,"13,960",25.9,8%,66 : 34,University of Iceland,"Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Archaeology,Accounting & Finance,General Engineering,Geography,Languages, Literature & Linguistics,Education,Chemistry,Civil Engineering,Mathematics & Statistics,Economics & Econometrics,Law,Communication & Media Studies",False,False
217,201-250,George Washington University,0,217,65.7,275,29.5,660,48.1,369,23.5,366,44.7,124,United States,"20,541",12.0,16%,56 : 44,George Washington University,"Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Archaeology,Other Health,Physics & Astronomy,Medicine & Dentistry,General Engineering,Art, Performing Arts & Design,Education,Sport Science,Economics & Econometrics,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Business & Management,Law,Communication & Media Studies,Computer Science,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Architecture,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Geography",False,False
218,201-250,Goethe University Frankfurt,0,218,79.3,165,38.1,395,60.2,246,28.6,284,35.8,222,Germany,"31,861",9.3,15%,60 : 40,Goethe University Frankfurt,"Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Languages, Literature & Linguistics,Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Geography,Sociology,Accounting & Finance,Chemistry,Economics & Econometrics,Physics & Astronomy,Sport Science,Archaeology,Education,Law,Business & Management,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",False,False
219,201-250,University of Hawai’i at Mānoa,0,219,67.7,256,44.7,281,63.4,222,35.5,204,32,294,United States,"16,773",11.1,13%,55 : 45,University of Hawai’i at Mānoa,"Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Law,Psychology,Languages, Literature & Linguistics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Other Health,Geography,Architecture,Computer Science,Chemistry,Sociology,Medicine & Dentistry,Electrical & Electronic Engineering,Mathematics & Statistics,Archaeology,Civil Engineering,Sport Science,Business & Management,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Education,Veterinary Science,Politics & International Studies (incl Development Studies)",False,False
220,201-250,Hong Kong Polytechnic University,0,220,63.3,304,45.1,277,79,120,35.2,209,29.3,351,Hong Kong,"22,064",25.9,26%,51 : 49,Hong Kong Polytechnic University PolyU Poly U HK PolyU,"Psychology,Accounting & Finance,Civil Engineering,Sociology,Electrical & Electronic Engineering,Other Health,General Engineering,Economics & Econometrics,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Chemical Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",False,False
221,201-250,University of Illinois Chicago,0,221,63.2,305,38,399,58.1,264,29.2,276,40.9,154,United States,"24,313",9.2,17%,53 : 47,University of Illinois Chicago,"Civil Engineering,Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Physics & Astronomy,General Engineering,Archaeology,Biological Sciences,Geography,Computer Science,Chemical Engineering,Law,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Education,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Architecture,Accounting & Finance,Sport Science,Sociology,Electrical & Electronic Engineering",False,False
222,201-250,Indiana University,0,222,74.8,202,0,783,41.2,443,27.3,311,43,135,United States,"62,468",13.6,13%,53 : 47,Indiana University,"Civil Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,General Engineering,Chemistry,Medicine & Dentistry,Law,Accounting & Finance,Art, Performing Arts & Design,Communication & Media Studies,Sociology,Other Health,Economics & Econometrics,Archaeology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geography,Chemical Engineering,Sport Science,Business & Management,Veterinary Science,Physics & Astronomy,Agriculture & Forestry,Education,Architecture,Psychology,Computer Science,Biological Sciences",False,False
223,201-250,University of Iowa,0,223,73.5,211,54.1,201,32.3,557,26.7,321,41,152,United States,"27,526",11.6,11%,52 : 48,University of Iowa,"Other Health,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Computer Science,General Engineering,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Psychology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Sport Science,Communication & Media Studies",False,False
224,201-250,University of Technology Sydney,0,224,66.9,264,43.4,297,90.1,48,35.4,205,27.2,397,Australia,"24,519",44.1,31%,53 : 47,University of Technology Sydney UTS,"Sociology,Psychology,Computer Science,General Engineering,Agriculture & Forestry,Medicine & Dentistry,Education,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Chemical Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Civil Engineering,Law,Economics & Econometrics,Communication & Media Studies,Accounting & Finance,Sport Science,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Other Health",False,False
