rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
4040,351–400,United Arab Emirates University,44.1–46.0,4040,24.5,754,21.4,639,73.3,389,65.9,217,88.8,121,United Arab Emirates,"7,121",8.4,17%,80 : 20,United Arab Emirates University,"Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Education,Biological Sciences,Geography,Accounting & Finance,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Agriculture & Forestry,Archaeology,Electrical & Electronic Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Psychology,Economics & Econometrics,Architecture,Computer Science,Chemistry,History, Philosophy & Theology,Chemical Engineering,Veterinary Science,Sociology",False,False
4050,351–400,Washington State University,44.1–46.0,4050,31.5,437,30.9,369,71.3,413,50.3,391,50.1,632,United States,"29,326",19.3,7%,53 : 47,Washington State University,"Medicine & Dentistry,Geography,Agriculture & Forestry,Accounting & Finance,Chemistry,Civil Engineering,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Computer Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,General Engineering,History, Philosophy & Theology,Sport Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Archaeology,Sociology,Art, Performing Arts & Design,Education,Veterinary Science,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Other Health",False,False
4060,401–500,Addis Ababa University,40.9–44.0,4060,18.9,1196,11.9,1215,95.2,75,41.5,683,47.0,702,Ethiopia,"46,864",16.6,0%,33 : 67,Addis Ababa University,"Economics & Econometrics,Civil Engineering,Mathematics & Statistics,Biological Sciences,History, Philosophy & Theology,Education,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Mechanical & Aerospace Engineering,Veterinary Science,Psychology,Medicine & Dentistry,Communication & Media Studies,Law,Sociology,Architecture,Languages, Literature & Linguistics,Computer Science,Electrical & Electronic Engineering,Sport Science,Physics & Astronomy,Business & Management,Chemistry,Other Health,Geography,Art, Performing Arts & Design,Accounting & Finance,Chemical Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
4070,401–500,University of Alaska Fairbanks,40.9–44.0,4070,27.8,562,24.0,543,73.7,380,46.9,467,57.9,489,United States,"3,125",7.8,6%,52 : 48,University of Alaska Fairbanks,"Education,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,Sociology,Economics & Econometrics,Architecture,Biological Sciences,Other Health,History, Philosophy & Theology,Civil Engineering,Chemistry,Computer Science,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics",False,False
4080,401–500,An-Najah National University,40.9–44.0,4080,13.2,1655,8.6,1576,100.0,1,36.0,1227,63.7,398,Palestine,"23,053",21.3,9%,65 : 35,An-Najah National University,"History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Archaeology,Education,Architecture,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Sport Science,Physics & Astronomy,Other Health,Accounting & Finance,Chemical Engineering,Biological Sciences,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,Agriculture & Forestry,Economics & Econometrics,Geography,Law,Computer Science,Communication & Media Studies,Medicine & Dentistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Chemistry",False,False
4090,401–500,Aston University,40.9–44.0,4090,21.5,968,24.5,524,66.0,487,36.7,1117,91.6,89,United Kingdom,"11,515",17.9,24%,48 : 52,Aston University,"Chemical Engineering,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Computer Science,Law,Business & Management",False,False
4100,401–500,Aswan University,40.9–44.0,4100,13.9,1644,9.8,1432,100.0,2,34.8,1564,47.9,678,Egypt,"29,353",45.0,2%,56 : 44,Aswan University,"General Engineering,Chemistry,Economics & Econometrics,Agriculture & Forestry,Psychology,Architecture,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Education,Sport Science,Other Health,Veterinary Science,Archaeology,Business & Management,Biological Sciences,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Sociology,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",False,False
4110,401–500,Bangor University,40.9–44.0,4110,25.1,713,25.2,513,68.1,457,35.2,1417,81.9,182,United Kingdom,"8,800",15.6,23%,60 : 40,Bangor University,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology,Computer Science,Sociology,Art, Performing Arts & Design,Law,Education,History, Philosophy & Theology,Sport Science,Business & Management,Agriculture & Forestry,Accounting & Finance,Biological Sciences,Other Health,Communication & Media Studies,Archaeology,Economics & Econometrics,Geography",False,False
4120,401–500,University of Campinas,40.9–44.0,4120,47.2,125,44.9,165,36.2,1004,47.7,447,33.0,1079,Brazil,"29,466",16.5,3%,46 : 54,University of Campinas,"Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Computer Science,Education,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemistry,Chemical Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Geography,Economics & Econometrics,General Engineering,Physics & Astronomy,Medicine & Dentistry,Business & Management,Communication & Media Studies,Civil Engineering,Agriculture & Forestry,Sport Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology",False,False
4130,401–500,Cankaya University,40.9–44.0,4130,17.0,1423,13.6,1045,100.0,4,36.0,1230,46.0,727,Turkey,"7,716",26.5,1%,44 : 56,Cankaya University,"Architecture,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,General Engineering,Law,Computer Science,Psychology,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering",False,False
4140,401–500,Claude Bernard University Lyon 1,40.9–44.0,4140,36.4,295,25.5,509,61.2,575,40.6,746,58.5,482,France,"27,767",13.0,14%,54 : 46,Claude Bernard University Lyon 1,"Medicine & Dentistry,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Veterinary Science,Education,Geology, Environmental, Earth & Marine Sciences,Chemistry,Civil Engineering,Business & Management,Agriculture & Forestry,Biological Sciences,Other Health,Chemical Engineering,Mathematics & Statistics,Sport Science",False,False
4150,401–500,Colorado School of Mines,40.9–44.0,4150,29.7,497,27.2,465,66.3,482,46.8,472,39.0,925,United States,"6,226",17.4,10%,31 : 69,Colorado School of Mines,"Civil Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Business & Management,Physics & Astronomy,Chemical Engineering,General Engineering,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",False,False
4160,401–500,University of Connecticut,40.9–44.0,4160,36.6,287,29.5,397,61.4,569,38.2,950,54.5,550,United States,"28,024",13.1,12%,52 : 48,University of Connecticut,"Civil Engineering,Sociology,Business & Management,Economics & Econometrics,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Education,Biological Sciences,Psychology,History, Philosophy & Theology,Chemistry,Law,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Architecture,Computer Science,Sport Science,Other Health,Mathematics & Statistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering",False,False
4170,401–500,University of Côte d’Azur,40.9–44.0,4170,26.3,634,19.9,697,72.1,402,35.6,1309,76.2,248,France,"31,638",18.3,21%,56 : 44,University of Côte d’Azur,"Medicine & Dentistry,Sociology,Geography,Agriculture & Forestry,Business & Management,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Archaeology,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Chemistry,Computer Science,Biological Sciences,Education,Accounting & Finance,Communication & Media Studies,History, Philosophy & Theology,Physics & Astronomy,Other Health,Sport Science,Civil Engineering,Mathematics & Statistics",False,False
4180,401–500,University of Crete,40.9–44.0,4180,19.3,1163,22.3,607,87.1,185,39.5,828,48.2,670,Greece,"13,620",27.2,4%,63 : 37,University of Crete,"Computer Science,History, Philosophy & Theology,Chemistry,Physics & Astronomy,Sociology,General Engineering,Biological Sciences,Archaeology,Other Health,Psychology,Education,Medicine & Dentistry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",False,False
4190,401–500,University of Cyprus,40.9–44.0,4190,26.1,646,21.3,641,65.5,493,49.1,408,82.1,179,Cyprus,"6,588",19.9,12%,62 : 38,University of Cyprus,"Communication & Media Studies,Mathematics & Statistics,Medicine & Dentistry,Sociology,General Engineering,Education,Archaeology,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Business & Management,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Psychology,Architecture,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy",False,False
4200,401–500,University of Denver,40.9–44.0,4200,39.3,229,23.8,556,72.2,401,35.9,1252,27.9,1229,United States,"9,624",12.7,7%,59 : 41,University of Denver,"General Engineering,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Other Health,Mathematics & Statistics,Accounting & Finance,Sociology,Communication & Media Studies,Law,Physics & Astronomy,Geography,Biological Sciences,Business & Management,Education,Languages, Literature & Linguistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Politics & International Studies (incl Development Studies)",False,False
4210,401–500,Durban University of Technology,40.9–44.0,4210,16.9,1436,11.5,1248,99.9,12,37.8,999,39.1,923,South Africa,"26,543",37.7,1%,53 : 47,Durban University of Technology,"Agriculture & Forestry,Physics & Astronomy,General Engineering,Sociology,Chemistry,Psychology,Mathematics & Statistics,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Other Health,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Biological Sciences,Chemical Engineering,History, Philosophy & Theology,Education,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Accounting & Finance,Architecture,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Sport Science,Art, Performing Arts & Design",False,False
4220,401–500,Duy Tan University,40.9–44.0,4220,13.1,1657,10.8,1320,100.0,6,35.9,1253,49.4,643,Vietnam,"21,519",23.6,0%,64 : 36,Duy Tan University,"Languages, Literature & Linguistics,Law,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Computer Science,Architecture,Business & Management,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Communication & Media Studies,Civil Engineering,Other Health,Electrical & Electronic Engineering",False,False
4230,401–500,École des Mines de Saint-Étienne,40.9–44.0,4230,34.4,344,27.0,471,54.2,682,71.5,182,71.4,301,France,"1,039",8.5,24%,30 : 70,École des Mines de Saint-Étienne,"Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Computer Science,Business & Management,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Electrical & Electronic Engineering,Geography,Mathematics & Statistics,Art, Performing Arts & Design",False,False
4240,401–500,Edith Cowan University,40.9–44.0,4240,19.2,1172,24.4,528,73.2,390,38.8,884,86.5,146,Australia,"18,086",30.5,29%,59 : 41,Edith Cowan University ecu edith cowan,"Other Health,Languages, Literature & Linguistics,Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Education,Mathematics & Statistics,Chemical Engineering,Chemistry,General Engineering,Business & Management,Law,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Geology, Environmental, Earth & Marine Sciences,Sociology,Agriculture & Forestry,Psychology",False,False
4250,401–500,University of Ferrara,40.9–44.0,4250,31.0,449,22.3,608,71.0,415,41.4,689,44.6,760,Italy,"18,093",28.9,6%,61 : 39,University of Ferrara,"Architecture,Education,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Other Health,Archaeology,Mechanical & Aerospace Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Business & Management,Chemistry,Law,Economics & Econometrics,Sport Science,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Biological Sciences",False,False
4260,401–500,University of Florence,40.9–44.0,4260,33.3,373,28.3,430,66.8,475,44.7,533,46.1,725,Italy,"36,629",21.3,10%,56 : 44,University of Florence,"Agriculture & Forestry,Education,History, Philosophy & Theology,Civil Engineering,Architecture,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geography,Communication & Media Studies,Chemistry,Medicine & Dentistry,Business & Management,Sport Science,Other Health,Sociology,Electrical & Electronic Engineering,Archaeology,Psychology,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance",False,False
4270,401–500,Free University of Bozen-Bolzano,40.9–44.0,4270,20.9,1014,16.8,839,77.8,321,36.5,1149,76.7,244,Italy,"4,195",11.2,15%,67 : 33,Free University of Bozen-Bolzano,"Education,Electrical & Electronic Engineering,General Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Accounting & Finance,Agriculture & Forestry,Art, Performing Arts & Design,Communication & Media Studies",False,False
4280,401–500,University of Fribourg,40.9–44.0,4280,27.5,583,29.7,392,59.2,608,50.3,390,85.8,150,Switzerland,"10,687",25.4,17%,60 : 40,University of Fribourg,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Psychology,Archaeology,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Chemistry,Sport Science,History, Philosophy & Theology,Law,Communication & Media Studies,Business & Management,Education,Geography,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Other Health",False,False
4290,401–500,University of Genoa,40.9–44.0,4290,35.4,321,25.5,510,65.1,499,45.3,517,44.8,755,Italy,"23,225",18.9,9%,56 : 44,University of Genoa,"Sport Science,Electrical & Electronic Engineering,Law,Economics & Econometrics,Business & Management,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,History, Philosophy & Theology,Education,Chemistry,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Politics & International Studies (incl Development Studies),Biological Sciences,Other Health,General Engineering,Medicine & Dentistry,Communication & Media Studies,Architecture",False,False
4300,401–500,Georgia State University,40.9–44.0,4300,32.9,386,25.9,499,65.8,489,36.0,1237,44.5,762,United States,"32,290",15.5,6%,59 : 41,Georgia State University,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",False,False
4310,401–500,"Goldsmiths, University of London",40.9–44.0,4310,28.5,538,27.9,440,64.7,505,34.8,1596,81.0,190,United Kingdom,"9,325",15.5,37%,66 : 34,"Goldsmiths, University of London","Economics & Econometrics,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Law,Other Health,Business & Management,Art, Performing Arts & Design,Sociology,Computer Science,History, Philosophy & Theology,Communication & Media Studies",False,False
4320,401–500,Hong Kong Baptist University,40.9–44.0,4320,30.0,489,26.5,480,54.3,679,37.7,1014,98.7,9,Hong Kong,"7,075",10.1,58%,67 : 33,Hong Kong Baptist University hkbu,"Geography,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Agriculture & Forestry,Business & Management,Biological Sciences,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Education,Sport Science,Computer Science,Accounting & Finance,Sociology,Communication & Media Studies,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False
4330,401–500,Hunan University,40.9–44.0,4330,23.2,842,22.4,600,84.9,224,54.5,321,25.6,1304,China,"40,198",18.6,3%,48 : 52,Hunan University,"Architecture,General Engineering,Communication & Media Studies,Business & Management,Law,Chemical Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Economics & Econometrics,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics",False,False
4340,401–500,University of Ibadan,40.9–44.0,4340,23.4,823,12.6,1144,91.2,125,35.3,1388,32.2,1100,Nigeria,"35,083",22.6,1%,48 : 52,University of Ibadan,"Biological Sciences,Agriculture & Forestry,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Sport Science,History, Philosophy & Theology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Archaeology,Chemical Engineering,Business & Management,Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Other Health,General Engineering,Geography,Languages, Literature & Linguistics,Computer Science,Law,Mathematics & Statistics",False,False
4350,401–500,University of Iceland,40.9–44.0,4350,20.7,1034,32.8,327,66.9,473,69.5,198,62.6,413,Iceland,"9,023",15.5,11%,67 : 33,University of Iceland,"Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Archaeology,Accounting & Finance,General Engineering,Geography,Languages, Literature & Linguistics,Education,Chemistry,Civil Engineering,Mathematics & Statistics,Economics & Econometrics,Law,Communication & Media Studies",False,False
4360,401–500,Indian Institute of Technology Indore,40.9–44.0,4360,37.9,261,24.1,541,66.7,476,38.1,964,22.4,1423,India,"1,832",11.4,0%,19 : 81,Indian Institute of Technology Indore IIT Indore,"Electrical & Electronic Engineering,Computer Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,Civil Engineering,Economics & Econometrics,Psychology,Chemistry,Sociology,Mechanical & Aerospace Engineering",False,False
4370,401–500,University of Innsbruck,40.9–44.0,4370,31.4,441,29.5,398,52.9,702,53.6,334,95.9,29,Austria,"13,517",22.2,43%,53 : 47,University of Innsbruck,"Chemical Engineering,Architecture,Psychology,Computer Science,Communication & Media Studies,Sociology,Physics & Astronomy,Archaeology,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Accounting & Finance,Business & Management,Sport Science,General Engineering,Education,Geography,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Other Health,Biological Sciences",False,False
4380,401–500,University of Insubria,40.9–44.0,4380,19.3,1164,21.6,627,90.7,129,36.7,1122,41.1,865,Italy,"9,207",26.5,6%,56 : 44,University of Insubria,"Communication & Media Studies,Law,Sport Science,General Engineering,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Medicine & Dentistry,Other Health,Economics & Econometrics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Chemistry,Biological Sciences,Computer Science,Accounting & Finance,Civil Engineering,History, Philosophy & Theology",False,False
4390,401–500,Iowa State University,40.9–44.0,4390,34.1,355,33.6,312,58.9,614,51.1,375,56.3,522,United States,"31,013",17.9,11%,44 : 56,Iowa State University,"Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,Other Health,General Engineering,Psychology,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Law,Business & Management,Sociology,Education,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Agriculture & Forestry",False,False
4400,401–500,Constructor University,40.9–44.0,4400,33.9,359,31.5,358,46.6,818,53.1,340,92.4,81,Germany,"1,571",21.9,78%,43 : 57,Constructor University,"Chemistry,Business & Management,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Communication & Media Studies,Psychology,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Computer Science",False,False
4410,401–500,Jordan University of Science and Technology,40.9–44.0,4410,16.5,1485,10.2,1389,99.2,20,43.3,595,58.3,485,Jordan,"22,656",14.5,13%,57 : 43,Jordan University of Science and Technology,"Languages, Literature & Linguistics,Physics & Astronomy,Other Health,Mathematics & Statistics,Medicine & Dentistry,Electrical & Electronic Engineering,Chemical Engineering,Veterinary Science,Biological Sciences,Civil Engineering,Computer Science,Chemistry,General Engineering,Agriculture & Forestry,Architecture,Mechanical & Aerospace Engineering",False,False
4420,401–500,Justus Liebig University Giessen,40.9–44.0,4420,32.1,415,35.3,286,59.1,610,42.4,635,52.8,585,Germany,"27,666",42.8,10%,63 : 37,Justus Liebig University Giessen,"Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),Law,Agriculture & Forestry,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Psychology,Languages, Literature & Linguistics,Computer Science,Education,Sport Science,Biological Sciences,Medicine & Dentistry,Business & Management,Sociology,Accounting & Finance,Economics & Econometrics,Mathematics & Statistics,Chemistry,Physics & Astronomy",False,False
4430,401–500,University of Kansas,40.9–44.0,4430,36.4,296,25.0,517,67.3,468,45.7,502,48.7,658,United States,"24,581",9.6,9%,53 : 47,University of Kansas,"History, Philosophy & Theology,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Psychology,Other Health,Agriculture & Forestry,Biological Sciences,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Chemistry,General Engineering,Computer Science,Sociology,Civil Engineering,Accounting & Finance,Art, Performing Arts & Design,Law,Geography,Languages, Literature & Linguistics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics",False,False
4440,401–500,University of Kragujevac,40.9–44.0,4440,18.2,1286,9.4,1485,97.9,43,35.6,1317,33.9,1057,Serbia,"15,717",12.5,0%,54 : 46,University of Kragujevac,"Law,Education,Civil Engineering,Psychology,Business & Management,Computer Science,Agriculture & Forestry,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Biological Sciences,Architecture,Chemistry,Accounting & Finance",False,False
4450,401–500,Leibniz University Hannover,40.9–44.0,4450,36.8,281,33.9,306,50.1,753,52.4,351,54.2,556,Germany,"21,640",41.9,18%,42 : 58,Leibniz University Hannover,"Economics & Econometrics,Education,Mechanical & Aerospace Engineering,Sociology,General Engineering,Civil Engineering,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Law,Computer Science,Architecture,Biological Sciences,Physics & Astronomy,Chemistry,Accounting & Finance,Electrical & Electronic Engineering",False,False
4460,401–500,Institut Agro,40.9–44.0,4460,34.4,347,24.5,526,60.9,582,46.6,481,60.8,441,France,"2,221",11.3,17%,62 : 38,Institut Agro,"Civil Engineering,Veterinary Science,Geography,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Communication & Media Studies,Chemical Engineering,Accounting & Finance,Computer Science,Chemistry,Other Health,Mechanical & Aerospace Engineering,Biological Sciences,Sociology,Agriculture & Forestry",False,False
4470,401–500,Liverpool John Moores University,40.9–44.0,4470,20.9,1017,18.6,752,78.7,306,35.3,1394,75.6,255,United Kingdom,"20,660",16.9,16%,53 : 47,Liverpool John Moores University,"Sport Science,Art, Performing Arts & Design,Education,Civil Engineering,Electrical & Electronic Engineering,Other Health,Architecture,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Veterinary Science,Sociology,Computer Science,Accounting & Finance,Business & Management,Geography,Mechanical & Aerospace Engineering,Psychology,Chemistry,Languages, Literature & Linguistics,Physics & Astronomy,Law,Mathematics & Statistics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies",False,False
4480,401–500,University of Marburg,40.9–44.0,4480,33.9,360,28.9,415,64.3,515,42.1,646,55.1,540,Germany,"24,198",32.4,13%,55 : 45,University of Marburg,"History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Medicine & Dentistry,Other Health,Sport Science,Chemistry,Politics & International Studies (incl Development Studies),Accounting & Finance,Biological Sciences,Geography,Economics & Econometrics,Law,Archaeology,Computer Science,Physics & Astronomy,Education,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Sociology,Business & Management",False,False
4490,401–500,Middlesex University,40.9–44.0,4490,21.4,977,20.1,688,77.0,335,35.2,1435,89.5,111,United Kingdom,"15,645",18.2,46%,60 : 40,Middlesex University,"Electrical & Electronic Engineering,Education,Business & Management,Other Health,Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Psychology,Veterinary Science,Chemistry,Economics & Econometrics,Architecture,Law,Art, Performing Arts & Design,Sport Science,Mathematics & Statistics,Computer Science,Accounting & Finance,Communication & Media Studies,Sociology",False,False
